,node_from,node_to
1448,24660,21715
1449,24660,12496
1450,24660,3625
1451,9290,12941
1452,9290,29071
1453,23743,8629
1454,22891,24555
1455,22891,26243
1456,22891,27861
1457,27449,18932
1458,27449,9129
1459,27449,21090
1460,27449,23189
1461,23728,29083
1462,23728,8599
1463,25759,23728
1464,25759,23630
1465,8624,19393
1466,8624,6542
1467,8624,22013
1468,12005,13583
1469,12005,87
1470,12005,10760
1471,12005,17708
1472,14741,13836
1473,14741,4111
1474,14741,62
1475,21520,23602
1476,21520,11796
1477,8144,31018
1478,8144,30271
1479,8144,7701
1480,8144,15608
1481,22401,5342
1482,22401,22085
1483,22401,8936
1484,2659,6971
1485,2659,25131
1486,2659,17433
1487,2659,28858
1488,7975,12941
1489,7975,27773
1490,7975,16669
1491,7975,17443
1492,7975,22753
1493,12534,13836
1494,12534,23526
1495,12534,2280
1496,12534,24933
1497,14833,18371
1498,14833,13420
1499,27659,16554
1500,27659,28616
1501,27659,21169
1502,27659,8358
1503,20088,12941
1504,21052,23602
1505,21052,12508
1506,3499,12941
1507,3499,8851
1508,3499,25102
1509,3499,13921
1510,23526,13836
1511,23526,2280
1512,23526,24933
1513,3540,29604
1514,3540,9966
1515,24420,4517
1516,24420,4267
1517,24420,6433
1518,11433,8629
1519,11433,28616
1520,11433,8358
1521,400,13836
1522,400,32033
1523,21305,26131
1524,21305,17265
1525,9338,18371
1526,9338,31857
1527,9338,17166
1528,8851,13836
1529,8851,24372
1530,17979,19393
1531,17979,6542
1532,17979,17574
1533,12299,22815
1534,12299,11204
1535,12299,28937
1536,8408,4796
1537,8408,3625
1538,8408,28237
1539,28402,13836
1540,28402,30817
1541,18677,22224
1542,18677,10530
1543,2877,22224
1544,2877,30584
1545,2877,13502
1546,2877,3160
1547,30601,13836
1548,30601,23690
1549,30601,27834
1550,30601,7283
1551,5092,12941
1552,5092,5611
1553,5092,19277
1554,9768,22224
1555,9768,31816
1556,17265,11528
1557,17265,17166
1558,17265,11420
1559,30109,11120
1560,30109,10902
1561,30109,26700
1562,22360,24555
1563,22360,16840
1564,22360,4134
1565,22360,14323
1566,22360,21497
1567,25326,25734
1568,25326,17510
1569,25326,16074
1570,25326,8044
1571,5680,11528
1572,5680,26214
1573,5680,11420
1574,5680,21882
1575,25877,31018
1576,25877,6443
1577,17094,13836
1578,17094,22827
1579,17094,20823
1580,8498,27202
1581,8498,13873
1582,8498,12680
1583,9966,29604
1584,21035,6971
1585,21035,21302
1586,8599,29083
1587,8599,9979
1588,20882,8599
1589,20882,17510
1590,20882,16074
1591,20882,28897
1592,4111,13836
1593,30584,26131
1594,30584,13502
1595,30584,3160
1596,28616,8629
1597,28616,21169
1598,28616,8358
1599,1158,23602
1600,1158,26494
1601,17178,11120
1602,17178,26700
1603,17178,24437
1604,30137,26131
1605,30137,5950
1606,23150,12941
1607,23150,12669
1608,23150,16491
1609,20450,13583
1610,20450,87
1611,22965,588
1612,22965,27357
1613,22965,17239
1614,22965,2001
1615,22965,25653
1616,7769,11120
1617,7769,8213
1618,7769,1895
1619,7769,28040
1620,7769,32137
1621,11155,13836
1622,11155,8150
1623,11155,28162
1624,6568,29005
1625,6568,17395
1626,8213,11120
1627,8213,10902
1628,8213,28040
1629,18772,13045
1630,18772,10692
1631,24465,23602
1632,27829,26131
1633,27829,21302
1634,19345,26131
1635,19345,5950
1636,5950,26131
1637,10902,11120
1638,10902,1895
1639,10198,27202
1640,10198,12680
1641,12669,12941
1642,12669,7137
1643,12669,25683
1644,12669,30817
1645,17109,29604
1646,21511,29604
1647,5359,13836
1648,14688,4796
1649,14688,28237
1650,29246,6971
1651,29246,25131
1652,29246,8224
1653,23690,13836
1654,23690,8150
1655,23690,27834
1656,16840,24555
1657,16840,14323
1658,28430,13045
1659,28430,30914
1660,26214,11528
1661,26214,21882
1662,22827,13836
1663,22827,20823
1664,24936,13583
1665,24936,22735
1666,13420,18371
1667,31816,22224
1668,31816,7933
1669,22085,5342
1670,22085,8936
